epoch,step,test_Energy_MAE,test_Energy_RMSE,test_Force_MAE,test_Force_RMSE,test_Magmom_MAE,test_Magmom_RMSE,test_Stress_MAE,test_Stress_RMSE,test_Total_Loss,train_Energy_MAE,train_Energy_RMSE,train_Force_MAE,train_Force_RMSE,train_Magmom_MAE,train_Magmom_RMSE,train_Stress_MAE,train_Stress_RMSE,train_Total_Loss,val_Energy_MAE,val_Energy_RMSE,val_Force_MAE,val_Force_RMSE,val_Magmom_MAE,val_Magmom_RMSE,val_Stress_MAE,val_Stress_RMSE,val_Total_Loss
61,11345,,,,,,,,,,0.02112557180225849,0.026594843715429306,0.109343983232975,0.16015483438968658,0.0,0.0,0.0,0.0,0.026775799691677094,,,,,,,,,
62,11528,,,,,,,,,,,,,,,,,,,0.034217528998851776,0.03852386027574539,0.10665275901556015,0.15684717893600464,0.0,0.0,0.0,0.0,0.0262862890958786
62,11528,,,,,,,,,,0.02690991200506687,0.03162529319524765,0.10750941932201385,0.15782305598258972,0.0,0.0,0.0,0.0,0.026368416845798492,,,,,,,,,
63,11711,,,,,,,,,,,,,,,,,,,0.04695150628685951,0.050853390246629715,0.10835938155651093,0.1566949337720871,0.0,0.0,0.0,0.0,0.027323108166456223
63,11711,,,,,,,,,,0.020405804738402367,0.025690242648124695,0.10576451569795609,0.1557196080684662,0.0,0.0,0.0,0.0,0.02522505261003971,,,,,,,,,
64,11894,,,,,,,,,,,,,,,,,,,0.01919996179640293,0.024028414860367775,0.10446451604366302,0.15427888929843903,0.0,0.0,0.0,0.0,0.024602245539426804
64,11894,,,,,,,,,,0.027637513354420662,0.0337245836853981,0.11434579640626907,0.16811850666999817,0.0,0.0,0.0,0.0,0.030894121155142784,,,,,,,,,
65,12077,,,,,,,,,,,,,,,,,,,0.04678209871053696,0.04985252395272255,0.12980133295059204,0.18215219676494598,0.0,0.0,0.0,0.0,0.03583070635795593
65,12077,,,,,,,,,,0.03137148916721344,0.03848763182759285,0.12269900739192963,0.1824333518743515,0.0,0.0,0.0,0.0,0.03882010653614998,,,,,,,,,
66,12260,,,,,,,,,,,,,,,,,,,0.029124675318598747,0.03380979225039482,0.11112689226865768,0.16066297888755798,0.0,0.0,0.0,0.0,0.02711845003068447
66,12260,,,,,,,,,,0.027579663321375847,0.032773103564977646,0.10951141268014908,0.16051039099693298,0.0,0.0,0.0,0.0,0.0274310614913702,,,,,,,,,
67,12443,,,,,,,,,,,,,,,,,,,0.012656230479478836,0.018985826522111893,0.10511192679405212,0.1552259624004364,0.0,0.0,0.0,0.0,0.02466406486928463
67,12443,,,,,,,,,,0.03077879175543785,0.03622351586818695,0.10825995355844498,0.15865756571292877,0.0,0.0,0.0,0.0,0.0272283386439085,,,,,,,,,
68,12626,,,,,,,,,,,,,,,,,,,0.02233513817191124,0.028057947754859924,0.11186825484037399,0.15892814099788666,0.0,0.0,0.0,0.0,0.02622213214635849
68,12626,,,,,,,,,,0.029143447056412697,0.03462396189570427,0.1069025844335556,0.15672318637371063,0.0,0.0,0.0,0.0,0.026392322033643723,,,,,,,,,
69,12809,,,,,,,,,,,,,,,,,,,0.023879697546362877,0.029319345951080322,0.1056981235742569,0.15471287071704865,0.0,0.0,0.0,0.0,0.024987615644931793
69,12809,,,,,,,,,,0.0313371941447258,0.036782097071409225,0.11268328875303268,0.16459397971630096,0.0,0.0,0.0,0.0,0.02930760197341442,,,,,,,,,
70,12992,,,,,,,,,,,,,,,,,,,0.016503792256116867,0.021094562485814095,0.10530613362789154,0.15485316514968872,0.0,0.0,0.0,0.0,0.024635115638375282
70,12992,,,,,,,,,,0.029841942712664604,0.03614919260144234,0.11232583969831467,0.16403353214263916,0.0,0.0,0.0,0.0,0.029067372903227806,,,,,,,,,
71,13175,,,,,,,,,,,,,,,,,,,0.0503411591053009,0.06127109006047249,0.15582026541233063,0.22421212494373322,0.0,0.0,0.0,0.0,0.05446132645010948
71,13175,,,,,,,,,,0.05612323805689812,0.0659225732088089,0.13173599541187286,0.1939656138420105,0.0,0.0,0.0,0.0,0.052058763802051544,,,,,,,,,
72,13358,,,,,,,,,,,,,,,,,,,0.03547756001353264,0.03782837465405464,0.10689796507358551,0.15574920177459717,0.0,0.0,0.0,0.0,0.02586865797638893
